X,Y,Z,gX,gY,gZ,
1.536132813,-0.06463623,8.9765625,-0.65625,-0.33984375,-0.975585938,0
1.239257813,-0.088562012,8.7890625,-0.707519531,-0.350585938,-1.038085938,0
0.628417969,0.426269531,8.609375,-0.828613281,-0.427246094,-1.071289063,0
0.678710938,1.029296875,8.171875,-0.891601563,-0.567871094,-1.091796875,0
0.870117188,0.669433594,7.31640625,-0.784179688,-0.783203125,-1.107421875,0
-0.17956543,1.940429688,7.2734375,-0.407958984,-1.065429688,-1.149414063,0
-0.279052734,3.40625,6.77734375,0.074584961,-1.208984375,-1.200195313,0
0.100585938,2.630859375,6.0078125,0.508300781,-1.076171875,-1.176757813,0
0.365234375,0.673828125,6.26171875,0.859863281,-0.802246094,-1.047851563,0
1.578125,-0.151977539,6.890625,1.006835938,-0.603027344,-0.794921875,0
2.345703125,0.174804688,7.171875,0.890625,-0.566894531,-0.548828125,0
1.829101563,0.250244141,7.08203125,0.578613281,-0.649902344,-0.368652344,0
1.875976563,0.7890625,6.953125,0.213012695,-0.752929688,-0.252441406,0
1.758789063,1.630859375,6.61328125,-0.078857422,-0.916015625,-0.208740234,0
1.729492188,2.150390625,6.36328125,-0.324951172,-1.116210938,-0.19921875,0
1.8359375,2.52734375,6.0625,-0.460205078,-1.263671875,-0.280273438,0
1.872070313,2.583984375,5.76953125,-0.470947266,-1.369140625,-0.430419922,0
2.14453125,2.4765625,5.40234375,-0.541992188,-1.268554688,-0.557128906,0
2.4296875,2.337890625,4.91796875,-0.520996094,-1.073242188,-0.676269531,0
2.599609375,1.98046875,4.5390625,-0.466552734,-0.872558594,-0.759765625,0
2.29296875,-0.254882813,4.90234375,-0.454833984,-0.707519531,-0.766113281,0
3.712890625,-5.38671875,7.0078125,-0.4921875,-0.570800781,-0.724609375,0
7.09375,-8.328125,8.3203125,-0.559082031,-0.450683594,-0.658203125,0
9.6484375,-8.875,9.6484375,-0.62109375,-0.371826172,-0.586914063,0
10.1875,-7.75390625,10.6015625,-0.698730469,-0.385742188,-0.523925781,0
8.96875,-4.85546875,10.8515625,-0.73828125,-0.434570313,-0.482666016,0
6.9140625,-1.321289063,10.4296875,-0.736328125,-0.440917969,-0.462402344,0
5.26171875,0.5625,9.8046875,-0.649902344,-0.459228516,-0.467773438,0
4.6015625,1.013671875,8.8984375,-0.561523438,-0.414306641,-0.46875,0
4.7734375,1.202148438,7.953125,-0.474121094,-0.324951172,-0.437744141,0
4.921875,1.302734375,7.03125,-0.367431641,-0.267333984,-0.380371094,0
4.8203125,1.233398438,6.08203125,-0.322753906,-0.226928711,-0.312011719,0
4.4921875,-0.311279297,6.1484375,-0.306884766,-0.200317383,-0.26953125,0
5.2890625,-4.75390625,8.046875,-0.286621094,-0.216308594,-0.239746094,0
7.5390625,-8.8359375,9.3828125,-0.26953125,-0.173583984,-0.202392578,0
11.078125,-10.6328125,10.53125,-0.250244141,-0.114013672,-0.161865234,0
13.578125,-10.3046875,10.921875,-0.235473633,-0.041534424,-0.126831055,0
13.2265625,-8.2265625,10.8515625,-0.19921875,0.041534424,-0.110778809,0
10.9296875,-5.5546875,10.8359375,-0.109741211,0.098022461,-0.112915039,0
8.6875,-3.44140625,10.6640625,-0.02130127,0.17578125,-0.121459961,0
7.6875,-2.1796875,10.1171875,-0.006393433,0.273681641,-0.130004883,0
7.390625,-1.493164063,9.34375,-0.07244873,0.368652344,-0.161865234,0
7.19921875,-1.251953125,8.4140625,-0.22265625,0.378173828,-0.190673828,0
6.7890625,-1.119140625,7.48046875,-0.411132813,0.329101563,-0.209838867,0
6.21484375,-0.916015625,6.83984375,-0.548828125,0.283447266,-0.248168945,0
5.82421875,-0.747070313,6.3125,-0.630859375,0.26953125,-0.283447266,0
5.65625,-0.671386719,5.7578125,-0.680664063,0.26953125,-0.298339844,0
5.5,-0.981445313,5.328125,-0.695800781,0.2578125,-0.3046875,0
5.28515625,-1.82421875,5.578125,-0.672363281,0.260009766,-0.29296875,0
5.234375,-2.513671875,6.22265625,-0.615722656,0.318603516,-0.250244141,0
5.44140625,-2.498046875,6.6171875,-0.532714844,0.385742188,-0.196044922,0
5.6171875,-2.21484375,6.77734375,-0.57421875,0.481445313,-0.154418945,0
5.7421875,-1.822265625,6.87109375,-0.824707031,0.544433594,-0.153442383,0
5.859375,-1.166992188,6.6015625,-1.2734375,0.435791016,-0.181152344,0
6.06640625,-0.577148438,6.32421875,-1.78515625,0.202392578,-0.258789063,0
6.34375,-0.409423828,5.71484375,-2.27734375,-0.030899048,-0.357910156,0
6.39453125,-0.999511719,4.86328125,-2.7578125,-0.218383789,-0.442138672,0
6.16015625,-2.302734375,4.66015625,-3.318359375,-0.3984375,-0.509277344,0
6.203125,-4.14453125,5.25390625,-4.03515625,-0.598632813,-0.555175781,0
7.38671875,-5.65234375,6.0625,-4.84765625,-0.816894531,-0.552734375,0
8.625,-5.53125,6.984375,-5.625,-1.034179688,-0.486816406,0
9.1171875,-3.701171875,7.84765625,-6.26171875,-1.221679688,-0.3984375,0
8.5078125,-1.17578125,7.91015625,-6.69921875,-1.374023438,-0.314208984,0
7.61328125,0.417724609,7.390625,-7.00390625,-1.508789063,-0.247192383,0
7.34765625,1.063476563,6.56640625,-7.3125,-1.587890625,-0.229003906,0
7.44140625,1.547851563,5.94921875,-7.58984375,-1.703125,-0.268554688,0
7.39453125,1.319335938,5.74609375,-7.69921875,-1.873046875,-0.388916016,0
7.52734375,0.963867188,5.765625,-7.625,-2.015625,-0.590332031,0
7.57421875,0.367431641,6.484375,-7.37890625,-2.13671875,-0.860839844,0
8.265625,-0.987792969,7.8046875,-6.98828125,-2.2421875,-1.182617188,0
9.125,-1.706054688,7.828125,-6.484375,-2.34375,-1.541015625,0
9.2109375,-1.536132813,7.56640625,-6.03515625,-2.419921875,-1.8828125,0
8.578125,-0.752929688,7.01171875,-5.5859375,-2.447265625,-2.21484375,0
7.953125,-0.0287323,6.00390625,-4.875,-2.419921875,-2.58203125,0
7.86328125,-0.149658203,5.19921875,-3.958984375,-2.29296875,-2.845703125,0
8.1484375,-0.276611328,4.73828125,-3.068359375,-2.052734375,-2.92578125,0
8.3203125,-0.649902344,4.84765625,-2.296875,-1.797851563,-2.890625,0
8.25,-1.392578125,4.79296875,-1.534179688,-1.59375,-2.796875,0
8.2421875,-2.375,5.125,-0.769042969,-1.392578125,-2.60546875,0
8.140625,-2.828125,6.03515625,-0.009590149,-1.2109375,-2.302734375,0
8.09375,-2.44140625,7.609375,0.716796875,-1.057617188,-1.948242188,0
8.40625,-1.587890625,8.625,1.28125,-0.932128906,-1.569335938,0
8.4765625,-0.963867188,9.234375,1.552734375,-0.8203125,-1.141601563,0
8.1328125,-1.022460938,9.671875,1.579101563,-0.71484375,-0.711425781,0
7.71875,-0.911132813,9.625,1.373046875,-0.59765625,-0.330322266,0
7.2421875,-0.957519531,9.140625,1.051757813,-0.461181641,-0.002130508,0
7.06640625,-1.209960938,8.546875,0.71484375,-0.329101563,0.251464844,0
7.28125,-1.114257813,8.296875,0.80859375,0.80859375,1.270507813,0
7.2578125,-0.969726563,8.3046875,0.890625,0.863769531,1.287109375,0
7.140625,-0.955078125,8.2734375,0.970703125,0.906738281,1.28515625,0
6.875,-1.021484375,8.421875,1.018554688,0.940429688,1.275390625,0
6.77734375,-0.909667969,8.640625,1.022460938,0.962890625,1.256835938,0
6.9765625,-0.560058594,8.84375,0.970703125,0.995117188,1.244140625,0
7.14453125,0.153198242,8.65625,0.848144531,1.045898438,1.247070313,0
7.0625,0.654785156,8.140625,0.704101563,1.087890625,1.254882813,0
6.88671875,0.404541016,7.82421875,0.572265625,1.09375,1.251953125,0
6.8359375,0.004787445,7.50390625,0.460205078,1.069335938,1.236328125,0
6.83984375,-0.544921875,6.94921875,0.80859375,0.80859375,1.270507813,0
